GPS,PlusPoint,Avail
"40.49837799999997,-114.106927",85G7FVXV+96,nope
"40.49837799999997,-113.606927",85G8F9XV+96,85G8F9XV+96
"40.49837799999997,-113.106927",85G8FVXV+96,85G8FVXV+96
"40.49837799999997,-112.606927",85G9F9XV+96,nope
"40.49837799999997,-112.106927",85G9FVXV+96,nope
"40.49837799999997,-111.606927",85GCF9XV+96,nope
"40.49837799999997,-111.106927",85GCFVXV+96,nope
"40.49837799999997,-110.606927",85GFF9XV+96,nope
"40.49837799999997,-110.106927",85GFFVXV+96,nope
"40.49837799999997,-109.606927",85GGF9XV+96,nope
"40.49837799999997,-109.106927",85GGFVXV+96,nope
"40.49837799999997,-108.606927",85GHF9XV+96,85GHF9XV+96
"40.831377999999965,-118.106927",85G3RVJV+H6,nope
"40.831377999999965,-117.606927",85G4R9JV+H6,nope
"40.831377999999965,-117.106927",85G4RVJV+H6,nope
"40.831377999999965,-116.606927",85G5R9JV+H6,nope
"40.831377999999965,-116.106927",85G5RVJV+H6,nope
"40.831377999999965,-115.606927",85G6R9JV+H6,nope
"40.831377999999965,-115.106927",85G6RVJV+H6,nope
"40.831377999999965,-114.606927",85G7R9JV+H6,85G7R9JV+H6
"40.831377999999965,-114.106927",85G7RVJV+H6,nope
"40.831377999999965,-113.606927",85G8R9JV+H6,85G8R9JV+H6
"40.831377999999965,-113.106927",85G8RVJV+H6,85G8RVJV+H6
"40.831377999999965,-112.606927",85G9R9JV+H6,85G9R9JV+H6
"40.831377999999965,-112.106927",85G9RVJV+H6,nope
"40.831377999999965,-111.606927",85GCR9JV+H6,nope
"40.831377999999965,-111.106927",85GCRVJV+H6,85GCRVJV+H6
"40.831377999999965,-110.606927",85GFR9JV+H6,nope
"40.831377999999965,-110.106927",85GFRVJV+H6,nope
"40.831377999999965,-109.606927",85GGR9JV+H6,nope
"40.831377999999965,-109.106927",85GGRVJV+H6,nope
"40.831377999999965,-108.606927",85GHR9JV+H6,85GHR9JV+H6
"41.164377999999964,-118.106927",85H35V7V+Q6,nope
