GPS,PlusPoint,Avail
"44.326503999999964,-113.55088",85P88CGX+JJ,Nada
"44.326503999999964,-113.05088",85P88WGX+JJ,Nada
"44.326503999999964,-112.55088",85P98CGX+JJ,Nada
"44.326503999999964,-112.05088",85P98WGX+JJ,Nada
"44.326503999999964,-111.55088",85PC8CGX+JJ,Nada
"44.326503999999964,-111.05088",85PC8WGX+JJ,Nada
"44.326503999999964,-110.55088",85PF8CGX+JJ,Nada
"44.326503999999964,-110.05088",85PF8WGX+JJ,Nada
"44.326503999999964,-109.55088",85PG8CGX+JJ,Nada
"44.326503999999964,-109.05088",85PG8WGX+JJ,Nada
"44.326503999999964,-108.55088",85PH8CGX+JJ,Nada
"44.326503999999964,-108.05088",85PH8WGX+JJ,Nada
"44.326503999999964,-107.55088",85PJ8CGX+JJ,Nada
"44.326503999999964,-107.05088",85PJ8WGX+JJ,Nada
"44.326503999999964,-106.55088",85PM8CGX+JJ,Nada
"44.326503999999964,-106.05088",85PM8WGX+JJ,Nada
"44.326503999999964,-105.55088",85PP8CGX+JJ,Nada
"44.326503999999964,-105.05088",85PP8WGX+JJ,Nada
"44.326503999999964,-104.55088",85PQ8CGX+JJ,Nada
"44.65950399999996,-114.05088",85P7MW5X+RJ,Nada
"44.65950399999996,-113.55088",85P8MC5X+RJ,Nada
"44.65950399999996,-113.05088",85P8MW5X+RJ,Nada
"44.65950399999996,-112.55088",85P9MC5X+RJ,Nada
"44.65950399999996,-112.05088",85P9MW5X+RJ,Nada
"44.65950399999996,-111.55088",85PCMC5X+RJ,Nada
